Concepto,2015,2016,2017,2018,2019,2020,2021,2022,2023
% población en edad de trabajar ,65.0,65.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0
Tasa Global de Participación (TGP),60.0,63.0,64.0,63.0,55.0,48.0,42.0,43.0,41.0
Tasa de Ocupación (TO),53.0,57.0,58.0,57.0,49.0,42.0,37.0,38.0,33.0
Tasa de Desocupación (TD),11.0,10.0,9.0,9.0,11.0,11.0,12.0,13.0,18.0
Tasa de Subocupación (TS),3.0,3.0,4.0,3.0,3.0,0.0,2.0,2.0,2.0
Población total,509.0,518.0,527.0,535.0,540.0,545.0,549.0,553.0,558.0
Población en edad de trabajar (PET),329.0,337.0,344.0,352.0,358.0,365.0,371.0,377.0,382.0
Fuerza de trabajo  ,196.0,213.0,219.0,220.0,197.0,173.0,155.0,164.0,155.0
Población ocupada,175.0,191.0,200.0,201.0,175.0,155.0,136.0,143.0,127.0
Población desocupada,21.0,21.0,20.0,19.0,22.0,19.0,19.0,21.0,28.0
Población fuera de la fuerza de trabajo,133.0,124.0,125.0,132.0,161.0,191.0,215.0,213.0,227.0
Subocupados,7.0,7.0,9.0,7.0,6.0,0.0,3.0,3.0,2.0
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,20.0
